Hotel Name,Location,Price,Ratings,No. of Ratings,Links
Super Townhouse PBG Mall Vashi,"Vashi, Mumbai",₹1428,4.2,(2557 Ratings),https://www.oyorooms.com/111572/
Townhouse Andheri Sakinaka Metro Formerly Hotel Amour,"Near Peninsula grand hotel, Mumbai",₹1389,4.0,(640 Ratings),https://www.oyorooms.com/81701/
Super Collection O JNPT Navi Mumbai Formerly Ratan’s Regency,"Navi Mumbai, Mumbai",₹1433,4.2,(37 Ratings),https://www.oyorooms.com/360046/
Collection O IIM Mumbai Formerly Green View,"Powai, Mumbai",₹1497,4.0,(321 Ratings),https://www.oyorooms.com/354564/
Townhouse MIDC Andheri Formerly Royal International,"Andheri East, Mumbai",₹2873,4.5,(132 Ratings),https://www.oyorooms.com/358374/
Townhouse Marol Near Mumbai Airport,"Marol, Mumbai",₹2343,4.0,(1243 Ratings),https://www.oyorooms.com/219069/
Townhouse Bombay Exhibition Centre Goregaon,"Ram Mandir Road,Goregaon West, Mumbai",₹3505,4.5,(926 Ratings),https://www.oyorooms.com/14996/
Super Hotel O Gymkhana Dombivli Formerly Viraj,"Dombivili East, Mumbai",₹923,4.3,(465 Ratings),https://www.oyorooms.com/352903/
Super Collection O MIDC Mahape Mumbai Formerly Hotel Didar House,"Mahape, Mumbai",₹1328,4.4,(181 Ratings),https://www.oyorooms.com/304822/
Collection O Lodha Experia Mall Dombiwali Formerly RR Suites,"Dombivli East, Mumbai",₹1109,3.9,(617 Ratings),https://www.oyorooms.com/328814/
Collection O Dahisar Mori Kalyan Phata Formerly Pearl Residency,hotel pearl residency mori mumbra opposite HP petrol pump,₹1128,4.4,(14 Ratings),https://www.oyorooms.com/54550/
Hotel O Ambedkar Chowk Ulhasnagar,"Near Chopra Court, Mumbai",₹996,4.0,(182 Ratings),https://www.oyorooms.com/186654/
Super Hotel O Seawoods Near Palm Beach Road Formerly Sai Roop,"Seawoods, Mumbai",₹1698,4.7,(800 Ratings),https://www.oyorooms.com/218494/
[Day Stay - 12 Hrs Slot: 8 AM to 8 PM] Townhouse Nandiwali Bus Terminal,"Malangad Road, Mumbai",₹1175,4.4,(5 Ratings),https://www.oyorooms.com/307727/
Collection O Vasai Creek Formerly Sri Sai Regency,"Thane, Mumbai",₹1272,4.4,(8 Ratings),https://www.oyorooms.com/373601/
Hotel O Palava Dombivali,"Thane, Mumbai",₹1036,4.3,(1383 Ratings),https://www.oyorooms.com/205064/
Collection O Crawford Market Formerly Al Ibrahim Hotel,"Pydhonie, Mumbai",₹2064,4.1,(213 Ratings),https://www.oyorooms.com/222997/
Collection O Kalyan East,"Kalyan East, Mumbai",₹1217,4.3,(505 Ratings),https://www.oyorooms.com/291843/
