Hotel Name,Location,Price,Ratings,No. of Ratings,Links
Super Townhouse PBG Mall Vashi,"Vashi, Mumbai",₹1409,4.2,(2569 Ratings),https://www.oyorooms.com/111572/
Collection O IIM Mumbai Formerly Green View,"Powai, Mumbai",₹1282,4.0,(321 Ratings),https://www.oyorooms.com/354564/
Super Collection O JNPT Navi Mumbai Formerly Ratan’s Regency,"Navi Mumbai, Mumbai",₹1315,4.2,(37 Ratings),https://www.oyorooms.com/360046/
Townhouse Bombay Exhibition Centre Goregaon,"Ram Mandir Road,Goregaon West, Mumbai",₹3087,4.5,(933 Ratings),https://www.oyorooms.com/14996/
Townhouse Andheri Sakinaka Metro Formerly Hotel Amour,"Near Peninsula grand hotel, Mumbai",₹2190,4.0,(639 Ratings),https://www.oyorooms.com/81701/
Townhouse Marol Near Mumbai Airport,"Marol, Mumbai",₹2305,4.0,(1252 Ratings),https://www.oyorooms.com/219069/
Townhouse MIDC Andheri Formerly Royal International,"Andheri East, Mumbai",₹2935,4.5,(132 Ratings),https://www.oyorooms.com/358374/
Collection O Lodha Experia Mall Dombiwali Formerly RR Suites,"Dombivli East, Mumbai",₹1138,3.9,(616 Ratings),https://www.oyorooms.com/328814/
Super Hotel O Gymkhana Dombivli Formerly Viraj,"Dombivili East, Mumbai",₹832,4.3,(465 Ratings),https://www.oyorooms.com/352903/
Collection O Dahisar Mori Kalyan Phata Formerly Pearl Residency,hotel pearl residency mori mumbra opposite HP petrol pump,₹1144,4.4,(13 Ratings),https://www.oyorooms.com/54550/
Hotel O Ambedkar Chowk Ulhasnagar,"Near Chopra Court, Mumbai",₹1172,4.1,(185 Ratings),https://www.oyorooms.com/186654/
Super Collection O MIDC Mahape Mumbai Formerly Hotel Didar House,"Mahape, Mumbai",₹1539,4.4,(179 Ratings),https://www.oyorooms.com/304822/
Collection O Rahatoli Mumbai Formerly Hotel Neera,"Badlapur East, Mumbai",₹1157,4.4,(0 Ratings),https://www.oyorooms.com/376085/
Collection O Vasai Creek Formerly Sri Sai Regency,"Thane, Mumbai",₹1456,4.4,(8 Ratings),https://www.oyorooms.com/373601/
Collection O Crawford Market Formerly Al Ibrahim Hotel,"Pydhonie, Mumbai",₹2048,4.1,(213 Ratings),https://www.oyorooms.com/222997/
Collection O Santacruz Metro Station Formerly MKN House,"Santacruz, Mumbai",₹2015,4.4,(6 Ratings),https://www.oyorooms.com/376341/
Collection O Thane Formerly Dove Residency,"Bhayander Pada Thane, Mumbai",₹1712,3.9,(427 Ratings),https://www.oyorooms.com/110465/
Hotel O Palava Dombivali,"Thane, Mumbai",₹1131,4.3,(1389 Ratings),https://www.oyorooms.com/205064/
Hotel O Mood Lodging & Boarding,"Vasai Eastnull, Mumbai",₹1377,3.5,(20 Ratings),https://www.oyorooms.com/223789/
Hotel O Dreamland,"Carnac Bunder, Mumbai",₹1807,4.2,(579 Ratings),https://www.oyorooms.com/86435/
